date,precipitation,temp_max,temp_min,wind,weather
2021-01-01,0.0,29.6,25.2,5.7,sun
2021-01-02,0.4,29.1,24.2,4.9,drizzle
2021-01-03,2.4,29.5,24.6,6.1,drizzle
2021-01-04,3.6,28.9,24.6,6.6,drizzle
2021-01-05,0.0,29.4,24.8,6.0,sun
2021-01-06,0.1,29.7,25.5,5.7,drizzle
2021-01-07,0.7,29.3,25.8,5.9,drizzle
2021-01-08,0.6,29.5,26.2,5.8,drizzle
2021-01-09,2.1,29.1,24.9,5.5,drizzle
2021-01-10,1.5,29.5,24.6,5.2,drizzle
2021-01-11,3.4,28.5,24.3,4.4,drizzle
2021-01-12,1.6,29.0,25.1,4.8,drizzle
2021-01-13,1.3,29.1,24.9,4.5,drizzle
2021-01-14,1.7,29.4,25.1,4.5,drizzle
2021-01-15,1.2,28.8,25.1,5.7,drizzle
2021-01-16,0.1,30.0,25.4,6.3,drizzle
2021-01-17,1.4,29.7,24.7,7.0,drizzle
2021-01-18,2.7,28.1,24.7,5.6,drizzle
2021-01-19,3.0,28.5,23.8,5.2,drizzle
2021-01-20,4.0,29.0,24.3,5.6,drizzle
2021-01-21,1.9,29.5,24.4,6.2,drizzle
2021-01-22,2.0,29.3,24.3,6.9,drizzle
2021-01-23,1.3,29.1,25.2,7.5,drizzle
2021-01-24,2.2,29.0,24.9,6.3,drizzle
2021-01-25,2.2,29.7,24.6,6.6,drizzle
2021-01-26,1.6,29.1,24.9,5.1,drizzle
2021-01-27,3.6,29.1,23.7,6.2,drizzle
2021-01-28,1.1,29.8,24.8,5.7,drizzle
2021-01-29,0.1,29.7,26.1,5.6,drizzle
2021-01-30,0.1,29.7,26.2,6.3,drizzle
2021-01-31,1.3,29.8,25.6,6.2,drizzle
2021-02-01,1.2,29.6,25.9,6.6,drizzle
2021-02-02,1.2,30.3,25.6,6.2,drizzle
2021-02-03,1.4,29.8,25.2,5.9,drizzle
2021-02-04,0.6,29.4,25.3,4.9,drizzle
2021-02-05,0.6,29.9,25.7,5.0,drizzle
2021-02-06,0.3,29.8,26.0,4.8,drizzle
2021-02-07,0.2,30.2,25.4,5.3,drizzle
2021-02-08,0.8,30.3,24.7,4.9,drizzle
2021-02-09,0.8,30.0,24.5,5.3,drizzle
2021-02-10,2.6,29.6,25.3,5.9,drizzle
2021-02-11,2.2,29.5,26.1,7.1,drizzle
2021-02-12,3.1,30.0,25.1,6.7,drizzle
2021-02-13,5.6,28.5,24.2,6.2,drizzle
2021-02-14,2.4,29.2,24.2,5.1,drizzle
2021-02-15,2.5,29.0,25.3,5.1,drizzle
2021-02-16,3.8,29.9,24.9,4.8,drizzle
2021-02-17,1.3,29.7,25.7,5.1,drizzle
2021-02-18,0.0,30.1,25.4,4.2,sun
2021-02-19,0.7,29.9,24.7,4.5,drizzle
2021-02-20,1.3,29.9,25.7,5.6,drizzle
2021-02-21,1.7,29.9,25.9,6.1,drizzle
2021-02-22,0.4,30.2,25.3,6.2,drizzle
2021-02-23,2.3,29.8,24.6,6.4,drizzle
2021-02-24,2.2,30.3,25.3,5.3,drizzle
2021-02-25,3.4,29.2,25.6,4.8,drizzle
2021-02-26,15.2,26.5,24.0,4.8,rain
2021-02-27,6.3,26.9,24.1,4.1,drizzle
2021-02-28,8.0,28.0,23.9,5.7,rain
2021-03-01,12.4,27.0,23.9,5.3,rain
2021-03-02,1.9,29.3,25.2,6.2,drizzle
2021-03-03,1.0,29.3,25.2,7.1,drizzle
2021-03-04,4.2,28.5,24.9,7.3,drizzle
2021-03-05,3.2,29.2,24.5,6.2,drizzle
2021-03-06,0.1,29.5,25.7,5.7,drizzle
2021-03-07,0.9,29.1,25.2,5.1,drizzle
2021-03-08,1.0,29.4,25.4,5.5,drizzle
2021-03-09,1.5,29.2,24.6,5.5,drizzle
2021-03-10,1.2,29.4,25.3,5.6,drizzle
2021-03-11,2.4,29.8,25.7,6.4,drizzle
2021-03-12,0.2,29.8,26.1,5.4,drizzle
2021-03-13,1.3,29.5,25.7,5.4,drizzle
2021-03-14,0.0,29.8,25.6,5.9,sun
2021-03-15,2.9,29.0,24.5,6.0,drizzle
2021-03-16,2.2,28.6,24.3,5.5,drizzle
2021-03-17,0.3,29.6,24.8,5.5,drizzle
2021-03-18,8.3,27.7,24.0,3.5,rain
2021-03-19,0.9,29.3,25.3,5.6,drizzle
2021-03-20,2.3,29.9,24.3,6.5,drizzle
2021-03-21,1.9,28.6,23.9,5.2,drizzle
2021-03-22,2.9,28.8,24.1,4.4,drizzle
2021-03-23,1.7,29.2,24.6,5.1,drizzle
2021-03-24,5.3,28.3,23.9,5.5,drizzle
2021-03-25,5.2,28.9,24.2,5.6,drizzle
2021-03-26,8.4,28.1,23.8,5.9,rain
2021-03-27,10.6,27.9,24.6,3.8,rain
2021-03-28,3.9,28.2,24.3,4.0,drizzle
2021-03-29,4.0,28.7,24.6,4.2,drizzle
2021-03-30,2.0,29.5,24.5,4.6,drizzle
2021-03-31,2.2,29.2,25.5,4.7,drizzle
2021-04-01,1.8,29.5,25.9,5.3,drizzle
2021-04-02,0.9,29.7,25.3,5.1,drizzle
2021-04-03,4.9,27.9,25.0,5.6,drizzle
2021-04-04,2.7,28.2,24.8,4.6,drizzle
2021-04-05,0.8,28.4,25.8,5.8,drizzle
2021-04-06,1.2,29.5,24.9,7.0,drizzle
2021-04-07,0.2,29.5,25.3,6.7,drizzle
2021-04-08,2.1,29.6,24.9,7.0,drizzle
2021-04-09,3.0,29.4,24.8,8.6,drizzle
2021-04-10,9.1,27.7,24.3,6.3,drizzle
2021-04-11,8.0,27.4,24.3,5.0,drizzle
2021-04-12,2.2,28.6,24.0,5.8,drizzle
2021-04-13,8.9,28.8,24.7,4.8,rain
2021-04-14,6.0,28.5,24.8,5.2,rain
2021-04-15,8.0,27.7,24.8,5.6,rain
2021-04-16,2.8,28.2,24.0,5.2,drizzle
2021-04-17,14.5,27.7,24.7,3.9,rain
2021-04-18,14.8,26.7,24.3,4.9,rain
2021-04-19,2.3,28.4,24.1,4.2,drizzle
2021-04-20,1.5,28.6,23.4,3.9,drizzle
2021-04-21,0.3,29.0,24.6,4.1,drizzle
2021-04-22,2.4,28.9,25.1,4.1,drizzle
2021-04-23,1.5,29.0,24.0,5.2,drizzle
2021-04-24,2.4,29.0,25.2,4.6,drizzle
2021-04-25,2.9,28.2,24.0,5.2,drizzle
2021-04-26,1.7,28.4,24.7,5.3,drizzle
2021-04-27,2.1,28.8,23.6,5.9,drizzle
2021-04-28,2.6,27.9,24.3,4.6,drizzle
2021-04-29,5.1,28.4,24.7,5.7,drizzle
2021-04-30,5.2,27.6,24.3,6.1,drizzle
2021-05-01,1.8,29.2,24.5,6.7,drizzle
2021-05-02,1.8,28.5,23.8,5.2,drizzle
2021-05-03,2.1,28.0,23.8,5.4,drizzle
2021-05-04,22.0,26.8,23.8,3.6,rain
2021-05-05,6.1,27.4,23.9,4.6,rain
2021-05-06,4.0,28.3,23.4,5.6,drizzle
2021-05-07,1.7,27.6,23.9,4.9,drizzle
2021-05-08,1.5,27.9,23.8,5.4,drizzle
2021-05-09,6.8,26.6,23.9,5.7,rain
2021-05-10,2.2,27.7,23.5,7.4,drizzle
2021-05-11,1.4,28.7,23.1,7.3,drizzle
2021-05-12,9.9,27.7,23.5,6.1,rain
2021-05-13,36.6,25.4,24.4,5.1,rain
2021-05-14,17.5,26.3,24.3,5.4,rain
2021-05-15,4.0,27.8,24.0,6.8,drizzle
